Campus,Expense,Cost,Status
UC Merced,Books and Supplies,410,Students with a Partner
UC Riverside,Books and Supplies,430,Students with a Partner
UC San Diego,Books and Supplies,340,Students with a Partner
UC San Francisco,Books and Supplies,270,Students with a Partner
UC Santa Barbara,Books and Supplies,470,Students with a Partner
UC Santa Cruz,Books and Supplies,410,Students with a Partner
System Average,Books and Supplies,400,Students with a Partner
UC Berkely,Housing,22260,Students with Dependents
UC Davis,Housing,17950,Students with Dependents
UC Irvine,Housing,19260,Students with Dependents
UC Los Angeles,Housing,21120,Students with Dependents
UC Merced,Housing,13350,Students with Dependents
UC Riverside,Housing,18990,Students with Dependents
UC San Diego,Housing,16900,Students with Dependents
UC San Francisco,Housing,25380,Students with Dependents
UC Santa Barbara,Housing,18130,Students with Dependents
UC Santa Cruz,Housing,20350,Students with Dependents
System Average,Housing,19250,Students with Dependents
UC Berkely,Groceries,13380,Students with Dependents
UC Davis,Groceries,13700,Students with Dependents
UC Irvine,Groceries,13760,Students with Dependents
UC Los Angeles,Groceries,15190,Students with Dependents
UC Merced,Groceries,13800,Students with Dependents
UC Riverside,Groceries,12460,Students with Dependents
UC San Diego,Groceries,14230,Students with Dependents
UC San Francisco,Groceries,18840,Students with Dependents
UC Santa Barbara,Groceries,14840,Students with Dependents
UC Santa Cruz,Groceries,13340,Students with Dependents
System Average,Groceries,14140,Students with Dependents
UC Berkely,Utilities***,4050,Students with Dependents
UC Davis,Utilities***,4460,Students with Dependents
UC Irvine,Utilities***,3420,Students with Dependents
UC Los Angeles,Utilities***,4080,Students with Dependents
UC Merced,Utilities***,3950,Students with Dependents
UC Riverside,Utilities***,4070,Students with Dependents
UC San Diego,Utilities***,3160,Students with Dependents
UC San Francisco,Utilities***,3840,Students with Dependents
UC Santa Barbara,Utilities***,4480,Students with Dependents
UC Santa Cruz,Utilities***,4380,Students with Dependents
System Average,Utilities***,4010,Students with Dependents
UC Berkely,Personal*,4330,Students with Dependents
UC Davis,Personal*,3780,Students with Dependents
UC Irvine,Personal*,3860,Students with Dependents
UC Los Angeles,Personal*,4290,Students with Dependents
UC Merced,Personal*,3740,Students with Dependents
UC Riverside,Personal*,3670,Students with Dependents
UC San Diego,Personal*,4490,Students with Dependents
UC San Francisco,Personal*,4280,Students with Dependents
UC Santa Barbara,Personal*,4340,Students with Dependents
UC Santa Cruz,Personal*,4740,Students with Dependents
System Average,Personal*,4130,Students with Dependents
UC Berkely,Transportation**,3150,Students with Dependents
UC Davis,Transportation**,3310,Students with Dependents
UC Irvine,Transportation**,3820,Students with Dependents
UC Los Angeles,Transportation**,3580,Students with Dependents
UC Merced,Transportation**,3510,Students with Dependents
UC Riverside,Transportation**,3600,Students with Dependents
UC San Diego,Transportation**,3530,Students with Dependents
UC San Francisco,Transportation**,3620,Students with Dependents
UC Santa Barbara,Transportation**,3540,Students with Dependents
UC Santa Cruz,Transportation**,3910,Students with Dependents
System Average,Transportation**,3530,Students with Dependents
UC Berkely,Books and Supplies,320,Students with Dependents
UC Davis,Books and Supplies,490,Students with Dependents
UC Irvine,Books and Supplies,550,Students with Dependents
UC Los Angeles,Books and Supplies,590,Students with Dependents
UC Merced,Books and Supplies,450,Students with Dependents
UC Riverside,Books and Supplies,570,Students with Dependents
UC San Diego,Books and Supplies,430,Students with Dependents
UC San Francisco,Books and Supplies,420,Students with Dependents
UC Santa Barbara,Books and Supplies,480,Students with Dependents
UC Santa Cruz,Books and Supplies,510,Students with Dependents
System Average,Books and Supplies,490,Students with Dependents
